OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,279422,396403,254292,204467,128674,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,216143,286955,184298,149126,105705,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,236793,315580,210136,167931,113484,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,198951,274705,171002,137451,95012,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,228659,284611,194711,154357,103896,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,184816,298103,201849,155292,113768,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,272689,332896,225388,185100,117805,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,246457,307161,209818,169378,99677,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,277878,393758,252897,203712,128322,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,216768,287623,184820,149728,106412,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,233596,311170,207182,165856,112613,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,193218,266586,166020,133788,92927,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,226811,281985,193234,153491,103853,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,183134,295554,199912,153777,113194,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,267804,326854,221273,181903,116642,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,244010,303953,207788,167897,99335,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,269588,381641,245374,197704,125527,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,219062,290263,186961,151580,108333,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,230211,306886,204172,163032,111330,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,192093,264922,165219,132888,92923,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,226326,281409,192873,152917,103943,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,178447,288386,194866,149587,110599,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,261991,319814,216526,177607,114424,
